name,energy (kcal/kJ),water (g),protein (g),total fat (g),carbohydrates (g),fiber (g),sugars (g),calcium (mg),iron (mg),magnessium (mg),phosphorus (mg),potassium (mg),sodium (g)
Apple 6,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Braeburn 1,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Crimson Snow 1,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Golden 1,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Golden 2,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Golden 3,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Granny Smith 1,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple hit 1,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Pink Lady 1,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Red 1,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Red 2,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Red 3,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Red Delicious 1,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Red Yellow 1,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apple Red Yellow 2,48,86.7,0.27,0.13,12.7,1.3,10.1,5,0.07,4,11,90,0
Apricot 1,48,86.4,1.4,0.39,11.12,2,9.24,13,0.39,10,23,259,1
Avocado ripe 1,160,73.23,2,14.7,8.53,6.7,0.66,12,0.55,29,52,485,7
Avocado 1,160,73.23,2,14.7,8.53,6.7,0.66,12,0.55,29,52,485,7
Beetroot 1,22,91.2,2.2,0.13,3.7,4.33,0.5,117,2.57,70,41,762,226
Banana Red 1,89,74.91,1.09,0.33,22.84,2.6,12.23,5,0.26,27,22,358,1
Banana Lady Finger 1 ,89,74.91,1.09,0.33,22.84,2.6,12.23,5,0.26,27,22,358,1
Banana 1,89,74.91,1.09,0.33,22.84,2.6,12.23,5,0.26,27,22,358,1
Blueberry 1,57,84.21,0.74,0.33,14.49,2.4,9.96,6,0.28,6,12,77,1
Cabbage White 1 ,24,92.52,1.21,0.18,5.37,2.3,0,47,0.56,15,23,246,18
Cactus fruit 1 ,41,88,0.7,0.5,10,3.3,10,5,1,21,0,220,5
Cantaloupe 1 ,34,90.15,0.84,0.19,8.16,0.9,7.86,9,0.21,12,15,267,16
Cantaloupe 2 ,34,90.15,0.84,0.19,8.16,0.9,7.86,9,0.21,12,15,267,16
Carambula 1,31,91.38,1.04,0.33,6.73,2.8,3.98,3,0.08,10,12,133,2
Carrot 1,41,88.29,0.93,0.24,9.58,2.8,4.74,33,0.3,12,35,320,69
Cherry Rainer 1,75,79.39,1.57,0.68,17.71,3,12.87,10,0.27,17,26,287,7
Cauliflower 1,25,92.07,1.92,0.28,4.97,2,1.91,22,0.42,15,44,299,30
Cherry 1,63,82.25,1.06,0.2,16.01,2.1,12.82,13,0.36,11,21,222,0
Cherry 2,63,82.25,1.06,0.2,16.01,2.1,12.82,13,0.36,11,21,222,0
Cherry Wax Black 1,63,82.25,1.06,0.2,16.01,2.1,12.82,13,0.36,11,21,222,0
Cherry Wax Red 1 ,63,82.25,1.06,0.2,16.01,2.1,12.82,13,0.36,11,21,222,0
Cherry wax Yellow 1,63,82.25,1.06,0.2,16.01,2.1,12.82,13,0.36,11,21,222,0
Corn 1 ,88,109,4.68,1.93,26.7,2.86,8.95,2.86,0.744,52.9,127,386,21.4
Corn Husk 1,88,109,4.68,1.93,26.7,2.86,8.95,2.86,0.744,52.9,127,386,21.4
Chestnut 1 ,196,88,1,1,19,2,4,27,0.9,32,93,484,2
